Numoff;Rigoff;Codcli;Codart;Data_Offerta;Qtaoff;List_Appl_Unit;Prz_Netto_Unit;Cdv_Unit;Stato_Riga_Off
OFF10043;44;C002;A007;16/12/2025;1;68,00;48,47;42,00;ACC
OFF10044;45;C003;A002;25/11/2025;5;7,20;4,72;4,60;ACC
OFF10045;46;C003;A002;11/08/2025;5;7,20;4,92;4,60;ACC
OFF10046;47;C003;A002;15/05/2025;1;7,20;4,98;4,60;ACC
OFF10047;48;C003;A002;17/09/2025;2;7,20;4,69;4,60;ACC
OFF10048;49;C003;A002;02/06/2025;50;7,20;4,71;4,60;ACC
OFF10049;50;C003;A005;08/11/2025;20;120,00;77,75;78,00;ACC
OFF10050;51;C003;A005;24/03/2025;5;120,00;81,61;78,00;ACC
OFF10051;52;C003;A005;01/01/2025;20;120,00;79,56;78,00;ACC
OFF10052;53;C003;A005;10/01/2025;10;120,00;79,21;78,00;ACC
OFF10053;54;C003;A005;07/06/2025;5;120,00;82,13;78,00;ACC
OFF10054;55;C003;A006;18/10/2025;2;45,00;30,06;28,00;ACC
OFF10055;56;C003;A006;06/09/2025;1;45,00;28,47;28,00;ACC
OFF10056;57;C003;A006;06/03/2025;20;45,00;28,76;28,00;ACC
OFF10057;58;C003;A006;09/10/2025;10;45,00;30,31;28,00;ACC
OFF10058;59;C003;A006;07/11/2025;20;45,00;30,23;28,00;ACC
OFF10059;60;C004;A001;04/10/2025;2;5,50;3,46;3,50;ACC
OFF10060;61;C004;A001;13/04/2025;50;5,50;3,37;3,50;ACC
OFF10061;62;C004;A001;10/12/2025;10;5,50;3,38;3,50;ACC
OFF10062;63;C004;A001;22/09/2025;10;5,50;3,40;3,50;ACC
OFF10063;64;C004;A001;26/04/2025;2;5,50;3,45;3,50;ACC
OFF10064;65;C004;A003;29/10/2025;1;12,80;8,15;8,20;ACC
OFF10065;66;C004;A003;23/04/2025;20;12,80;7,84;8,20;ACC
OFF10066;67;C004;A003;20/11/2025;50;12,80;8,19;8,20;ACC
OFF10067;68;C004;A003;17/01/2025;1;12,80;8,15;8,20;ACC
OFF10068;69;C004;A003;21/09/2025;1;12,80;7,64;8,20;ACC
OFF10069;70;C004;A010;06/09/2025;50;180,00;118,46;115,00;ACC
OFF10070;71;C004;A010;20/10/2025;2;180,00;118,67;115,00;ACC
OFF10071;72;C004;A010;31/08/2025;2;180,00;115,41;115,00;ACC
OFF10072;73;C004;A010;18/02/2025;2;180,00;113,33;115,00;ACC
OFF10073;74;C004;A010;01/07/2025;10;180,00;119,73;115,00;ACC
OFF10074;75;C005;A003;28/01/2025;10;12,80;9,07;8,20;ACC
OFF10075;76;C005;A003;20/02/2025;50;12,80;8,91;8,20;ACC
OFF10076;77;C005;A003;23/06/2025;50;12,80;9,31;8,20;ACC
OFF10077;78;C005;A003;08/05/2025;1;12,80;8,83;8,20;ACC
OFF10078;79;C005;A003;18/08/2025;20;12,80;9,22;8,20;ACC
OFF10079;80;C005;A007;23/05/2025;2;68,00;48,48;42,00;ACC
OFF10080;81;C005;A007;15/08/2025;1;68,00;47,39;42,00;ACC
OFF10081;82;C005;A007;20/02/2025;20;68,00;46,21;42,00;ACC
OFF10082;83;C005;A007;08/01/2025;20;68,00;48,79;42,00;ACC
OFF10083;84;C005;A007;27/03/2025;2;68,00;45,67;42,00;ACC
OFF10084;85;C005;A008;20/04/2025;10;125,00;86,21;78,00;ACC
OFF10085;86;C005;A008;26/03/2025;1;125,00;83,35;78,00;ACC
OFF10086;87;C005;A008;16/05/2025;10;125,00;86,38;78,00;ACC
OFF10087;88;C005;A008;27/05/2025;10;125,00;82,96;78,00;ACC
OFF10088;89;C005;A008;12/10/2025;50;125,00;86,11;78,00;ACC
OFF10089;90;C006;A001;21/03/2025;10;5,50;4,31;3,50;ACC
OFF10090;91;C006;A001;30/01/2025;2;5,50;4,41;3,50;ACC
OFF10091;92;C006;A001;01/02/2025;20;5,50;4,33;3,50;ACC
OFF10092;93;C006;A001;26/01/2025;1;5,50;4,29;3,50;ACC
OFF10093;94;C006;A001;29/09/2025;20;5,50;4,33;3,50;ACC
OFF10094;95;C006;A002;11/02/2025;20;7,20;5,71;4,60;ACC
OFF10095;96;C006;A002;01/11/2025;1;7,20;5,51;4,60;ACC
OFF10096;97;C006;A002;26/07/2025;2;7,20;5,74;4,60;ACC
OFF10097;98;C006;A002;07/05/2025;20;7,20;5,73;4,60;ACC
OFF10098;99;C006;A002;14/11/2025;1;7,20;5,59;4,60;ACC
OFF10099;100;C007;A004;26/10/2025;50;85,00;60,92;55,00;ACC
OFF10100;101;C007;A004;14/05/2025;5;85,00;59,28;55,00;ACC
OFF10101;102;C007;A004;10/06/2025;50;85,00;60,51;55,00;ACC
OFF10102;103;C007;A004;09/03/2025;10;85,00;60,39;55,00;ACC
OFF10103;104;C007;A004;23/08/2025;5;85,00;58,92;55,00;ACC
OFF10104;105;C007;A005;05/01/2025;1;120,00;83,68;78,00;ACC
OFF10105;106;C007;A005;21/02/2025;20;120,00;83,00;78,00;ACC
OFF10106;107;C007;A005;17/09/2025;2;120,00;84,85;78,00;ACC
OFF10107;108;C007;A005;05/02/2025;5;120,00;83,93;78,00;ACC
OFF10108;109;C007;A005;26/05/2025;5;120,00;80,98;78,00;ACC
OFF10109;110;C008;A005;27/12/2025;20;120,00;79,45;78,00;ACC
OFF10110;111;C008;A005;28/09/2025;50;120,00;78,58;78,00;ACC
OFF10111;112;C008;A005;03/06/2025;20;120,00;80,35;78,00;ACC
OFF10112;113;C008;A005;10/03/2025;1;120,00;74,81;78,00;ACC
OFF10113;114;C008;A005;11/10/2025;1;120,00;78,81;78,00;ACC
OFF10114;115;C008;A008;06/11/2025;5;125,00;86,53;78,00;ACC
OFF10115;116;C008;A008;15/04/2025;5;125,00;86,18;78,00;ACC
OFF10116;117;C008;A008;16/09/2025;5;125,00;83,20;78,00;ACC
OFF10117;118;C009;A001;17/02/2025;1;5,50;4,26;3,50;ACC
OFF10118;119;C009;A001;23/01/2025;5;5,50;4,24;3,50;ACC
OFF10119;120;C009;A001;23/11/2025;2;5,50;4,34;3,50;ACC
OFF10120;121;C010;A003;15/08/2025;2;12,80;7,44;8,20;ACC
OFF10121;122;C010;A003;15/10/2025;10;12,80;7,71;8,20;ACC
OFF10122;123;C010;A003;20/12/2025;1;12,80;8,06;8,20;ACC
OFF10123;124;C010;A003;19/01/2025;20;12,80;7,49;8,20;ACC
OFF10124;125;C010;A003;10/10/2025;20;12,80;7,53;8,20;ACC
OFF10125;126;C010;A004;22/01/2025;2;85,00;55,47;55,00;ACC
OFF10126;127;C010;A004;03/07/2025;1;85,00;54,79;55,00;ACC
OFF10127;128;C010;A004;08/12/2025;2;85,00;55,21;55,00;ACC
OFF10128;129;C010;A004;28/07/2025;20;85,00;55,66;55,00;ACC
OFF10129;130;C010;A004;21/03/2025;50;85,00;51,96;55,00;ACC
OFF10130;131;C001;A009;25/03/2025;2;28,00;21,92;18,00;ACC
OFF10131;132;C002;A009;31/07/2025;2;28,00;21,31;18,00;ACC
OFF10132;133;C003;A009;20/06/2025;50;28,00;21,81;18,00;ACC
OFF10133;134;C001;A001;09/12/2025;2;5,50;4,55;3,50;PER
OFF10134;135;C001;A002;17/05/2025;1;7,20;5,93;4,60;PER
OFF10135;136;C002;A004;25/02/2025;5;85,00;71,84;55,00;PER
OFF10136;137;C003;A005;29/08/2025;1;120,00;100,62;78,00;PER
OFF10137;138;C004;A003;29/06/2025;2;12,80;10,79;8,20;PER
OFF10138;139;C005;A008;25/04/2025;1;125,00;105,11;78,00;PER
OFF10139;140;C001;A001;01/03/2025;5;5,50;4,29;3,50;INC
OFF10140;141;C002;A007;01/03/2025;5;68,00;53,04;42,00;INC
